,Name,Total Value,Return
0,LRA; E=1.00e+08; K=1.00e+03,"$100,000.00",+0.000%
1,NN; E=1.00e+08; K=1.00e+03,"$100,000.00",+0.000%
2,LRA; E=1.00e+08; K=1.00e+02,"$100,000.00",+0.000%
3,NN; E=1.00e+08; K=1.00e+02,"$100,000.00",+0.000%
4,LRA; E=1.00e+08; K=1.00e+01,"$100,000.00",+0.000%
5,NN; E=1.00e+08; K=1.00e+01,"$100,000.00",+0.000%
6,LRA; E=1.00e+08; K=1.00e+00,"$100,000.00",+0.000%
7,NN; E=1.00e+08; K=1.00e+00,"$100,000.00",+0.000%
8,LRA; E=1.00e+08; K=1.00e-01,"$100,000.00",+0.000%
9,NN; E=1.00e+08; K=1.00e-01,"$100,000.00",+0.000%
10,LRA; E=1.00e+08; K=1.00e-02,"$100,000.00",+0.000%
11,NN; E=1.00e+08; K=1.00e-02,"$100,000.00",+0.000%
12,LRA; E=1.00e+08; K=1.00e-03,"$100,000.00",+0.000%
13,NN; E=1.00e+08; K=1.00e-03,"$100,000.00",+0.000%
14,LRA; E=1.00e+08; K=2.00e+03,"$100,000.00",+0.000%
15,NN; E=1.00e+08; K=2.00e+03,"$100,000.00",+0.000%
16,LRA; E=1.00e+08; K=2.00e+02,"$100,000.00",+0.000%
17,NN; E=1.00e+08; K=2.00e+02,"$100,000.00",+0.000%
18,LRA; E=1.00e+08; K=2.00e+01,"$100,000.00",+0.000%
19,NN; E=1.00e+08; K=2.00e+01,"$100,000.00",+0.000%
20,LRA; E=1.00e+08; K=2.00e+00,"$100,000.00",+0.000%
21,NN; E=1.00e+08; K=2.00e+00,"$100,000.00",+0.000%
22,LRA; E=1.00e+08; K=2.00e-01,"$100,000.00",+0.000%
23,NN; E=1.00e+08; K=2.00e-01,"$100,000.00",+0.000%
24,LRA; E=1.00e+08; K=2.00e-02,"$100,000.00",+0.000%
25,NN; E=1.00e+08; K=2.00e-02,"$100,000.00",+0.000%
26,LRA; E=1.00e+08; K=2.00e-03,"$100,000.00",+0.000%
27,NN; E=1.00e+08; K=2.00e-03,"$100,000.00",+0.000%
28,LRA; E=1.00e+08; K=3.00e+03,"$100,000.00",+0.000%
29,NN; E=1.00e+08; K=3.00e+03,"$100,000.00",+0.000%
30,LRA; E=1.00e+08; K=3.00e+02,"$100,000.00",+0.000%
31,NN; E=1.00e+08; K=3.00e+02,"$100,000.00",+0.000%
32,LRA; E=1.00e+08; K=3.00e+01,"$100,000.00",+0.000%
33,NN; E=1.00e+08; K=3.00e+01,"$100,000.00",+0.000%
34,LRA; E=1.00e+08; K=3.00e+00,"$100,000.00",+0.000%
35,NN; E=1.00e+08; K=3.00e+00,"$100,000.00",+0.000%
36,LRA; E=1.00e+08; K=3.00e-01,"$100,000.00",+0.000%
37,NN; E=1.00e+08; K=3.00e-01,"$100,000.00",+0.000%
38,LRA; E=1.00e+08; K=3.00e-02,"$100,000.00",+0.000%
39,NN; E=1.00e+08; K=3.00e-02,"$100,000.00",+0.000%
40,LRA; E=1.00e+08; K=3.00e-03,"$100,000.00",+0.000%
41,NN; E=1.00e+08; K=3.00e-03,"$100,000.00",+0.000%
42,LRA; E=1.00e+08; K=4.00e+03,"$100,000.00",+0.000%
43,NN; E=1.00e+08; K=4.00e+03,"$100,000.00",+0.000%
